25时miku,25-ji miku
特雷奥（碧蓝幻想）,threo (granblue fantasy)
瑟鲁德（Fate）,thrud (fate)
雷电（少女前线）,thunder (girls' frontline)
提亚马特（Fate）,tiamat (fate)
天子（蒋丽华）（反叛的鲁路修）,tianzi
蒂耶利亚·厄德（机动战士高达00）,tieria erde
蒂法·洛克哈特（最终幻想VII）,tifa lockhart
蒂法·洛克哈特（精致礼服）（最终幻想VII）,tifa lockhart (refined dress)
蒂法·洛克哈特（闪耀灵魂）（最终幻想VII）,tifa lockhart (shining spirit)
蒂法妮娅·韦斯特伍德（零之使魔）,tiffania westwood
提纳里（原神）,tighnari (genshin impact)
蒂基（成年）（火焰纹章）,tiki (adult) (fire emblem)
蒂基（火焰纹章）,tiki (fire emblem)
蒂基（幼年）,tiki (young) (fire emblem)
蒂梅拉（火焰纹章）,timerra (fire emblem)
蒂娜·阿姆斯特朗（死或生）,tina armstrong
停云（同谐）（崩坏：星穹铁道）,tingyun (harmony) (honkai  star rail)
停云（崩坏：星穹铁道）,tingyun (honkai  star rail)
提奥·普拉托（英雄传说：零之轨迹）,tio plato
蒂法莉丝A（Project Moon）,tiphereth a (project moon)
蒂皮（爷爷）（请问您今天要来点兔子吗？）,tippy (gochiusa)
提尔皮茨（碧蓝航线）,tirpitz (azur lane)
泰坦（进击的巨人）,titan (shingeki no kyojin)
蒂塔妮娅（刀剑神域）,titania (sao)
TMP（少女前线）,tmp (girls' frontline)
奇诺比奥（马里奥）,toad (mario)
鸢一折纸（约会大作战）,tobiichi origami
藤堂百合香（偶像大师）,todo yurika
轰元（VTuber）,todoroki hajime
轰焦冻（我的英雄学院）,todoroki shouto
轰八千代（Working!!）,todoroki yachiyo
渡我被身子（我的英雄学院）,toga himiko
十神白夜（弹丸论破）,togami byakuya
丰川祥子（BanG Dream!）,togawa sakiko
远野秋叶（月姬）,tohno akiha
托尔（小林家的龙女仆）,tohru (maidragon)
远坂凛（Fate/stay night）,tohsaka rin
远坂凛（Fate/Zero）,tohsaka rin (fate/zero)
远坂时臣（Fate/Zero）,tohsaka tokiomi
东条希美（弹丸论破3）,tojo kirumi
东海帝王（赛马娘）,tokai teio (umamusume)
托卡列夫（少女前线）,tokarev (girls' frontline)
时（碧蓝档案）,toki (blue archive)
时（兔女郎）（碧蓝档案）,toki (bunny) (blue archive)
土岐红巴（突击莉莉）,toki kureha
时藤沙耶（我的妹妹不可能那么可爱）,tokido saya
时火舞（舞-HiME）,tokiha mai
鸮娘（东方Project）,tokiko (touhou)
时乃空（Hololive）,tokino sora
时乃空（初版服装）（Hololive）,tokino sora (1st costume)
时崎狂三（约会大作战）,tokisaki kurumi
时崎澪（原创角色）,tokisaki mio (niliu chahui)
时太郎（Fate）,tokitarou (fate)
时津风（舰队Collection）,tokitsukaze (kancolle)
所惠美（恶魔高校D×D）,tokoro megumi
常暗永远（Hololive）,tokoyami towa
常暗永远（初版服装）（Hololive）,tokoyami towa (1st costume)
常暗永远（赛博朋克）（Hololive）,tokoyami towa (cyberpunk)
常暗永远（地雷系）（Hololive）,tokoyami towa (jirai kei)
德川祭（偶像大师）,tokugawa matsuri
Tokunaga（深渊传说）,tokunaga (tales)
兔鞠玛丽（VTuber）,tomari mari
夜空之书（魔法少女奈叶A's）,tome of the night sky
托米米（明日方舟）,tomimi (arknights)
富冈义勇（鬼灭之刃）,tomioka giyuu
巴（女王之刃）,tomoe (queen's blade)
巴御前（Fate）,tomoe gozen (fate)
巴御前（泳装剑阶）（Fate）,tomoe gozen (swimsuit saber) (fate)
巴御前（泳装剑阶·第一灵基）（Fate）,tomoe gozen (swimsuit saber) (first ascension) (fate)
土萌萤（美少女战士）,tomoe hotaru
巴麻美（魔法少女小圆）,tomoe mami
友利奈绪（Charlotte）,tomori nao
利根（舰队收藏）,tone (kancolle)
利根改二（舰队收藏）,tone kai ni (kancolle)
托尼托尼·乔巴（海贼王）,tony tony chopper
卡通林克（塞尔达传说：风之杖）,toon link
卡通塞尔达（塞尔达传说：风之杖）,toon zelda
托帕（崩坏：星穹铁道）,topaz (honkai  star rail)
托芙·贝芙（降世神通）,toph beifong
寅丸星（东方Project）,toramaru shou
小火鸡（宝可梦）,torchic
托丽尔（传说之下）,toriel
土佐（碧蓝航线）,tosa (azur lane)
东泉乔丹（赛马娘）,tosen jordan (umamusume)
岁纳京子（摇曳百合）,toshinou kyouko
十时爱梨（偶像大师）,totoki airi
托托莉亚·赫尔莫德（托托莉的炼金工房）,totooria helmold
东乡美森（结城友奈是勇者）,tougou mimori
东北板子（VOICEROID）,touhoku itako
东北绮谭（VOICEROID）,touhoku kiritan
东北纯子（VOICEROID）,touhoku zunko
塔城小猫（恶魔高校D×D）,toujou koneko
东条希（Love Live!）,toujou nozomi
饕餮尤魔（东方Project）,toutetsu yuuma
东和惠理绪（电波女与青春男）,touwa erio
东横桃子（咲-Saki-）,touyoko momoko
托娃·赫谢尔（英雄传说：闪之轨迹）,towa herschel
户山香橙（偶像大师 闪耀色彩）,toyama kasumi
丰聪耳神子（东方Project）,toyosatomimi no miko
猎空（守望先锋）,tracer (overwatch)
特拉法尔加·罗（海贼王）,trafalgar law
开拓者（崩坏：星穹铁道）,trailblazer (honkai  star rail)
超越（赛马娘）,transcend (umamusume)
特鲁西·赖特（逆转裁判）,trucy wright
特兰克斯（龙珠）,trunks (dragon ball)
椿（蓝色档案）,tsubaki (blue archive)
椿弥生（苍翼默示录）,tsubaki yayoi
辻野灯（偶像大师 灰姑娘女孩）,tsujino akari
塚原响（四叠半神话大系）,tsukahara hibiki
月影百合（我的青春恋爱物语果然有问题）,tsukikage yuri
月村铃鹿（魔法少女奈叶）,tsukimura suzuka
月村手毬（魔法少女奈叶）,tsukimura temari
月之美兔（VTuber）,tsukino mito
月之美兔（初代服装）（VTuber）,tsukino mito (1st costume)
月野兔（美少女战士）,tsukino usagi
月冈恋钟（偶像大师 闪耀色彩）,tsukioka kogane
月岛始（黄金神威）,tsukishima hajime (golden kamuy)
九十九弁弁（东方Project）,tsukumo benben
九十九沙那（Hololive）,tsukumo sana
九十九八桥（东方Project）,tsukumo yatsuhashi
月咏（蔚蓝档案）,tsukuyo (blue archive)
月读爱（VOICEROID+）,tsukuyomi ai
月读调（战姬绝唱）,tsukuyomi shirabe
罪木蜜柑（弹丸论破）,tsumiki mikan
紬·温德斯（Summer Pockets）,tsumugi wenders
纲手（火影忍者）,tsunade (naruto)
常月纏（鬼灭之刃）,tsunetsuki matoi
角卷绵芽（Hololive）,tsunomaki watame
角卷绵芽（初代服装）（Hololive）,tsunomaki watame (1st costume)
弦卷心（BanG Dream!）,tsurumaki kokoro
弦卷真纪（Synthesizer V）,tsurumaki maki
鹤丸国永（刀剑乱舞）,tsurumaru kuninaga
鹤丸强（赛马娘）,tsurumaru tsuyoshi (umamusume)
鹤屋（凉宫春日的忧郁）,tsuruya
津岛（舰队Collection）,tsushima (kancolle)
津岛善子（Love Live! Sunshine!!）,tsushima yoshiko
筒隐月子（变态王子与不笑猫）,tsutsukakushi tsukiko
栗花落香奈乎（鬼灭之刃）,tsuyuri kanao
五月七日茴香（中二病也要谈恋爱）,tsuyuri kumin
露崎真昼（少女☆歌剧）,tsuyuzaki mahiru
特维恩（碧蓝幻想）,tweyen (granblue fantasy)
黄昏（间谍过家家）,twilight (spy x family)
暮光闪闪（我的小马驹：友谊是魔法）,twilight sparkle
双涡轮（赛马娘）,twin turbo (umamusume)
95式（少女前线）,type 95 (girls' frontline)
97式（少女前线）,type 97 (girls' frontline)
爆炎龙（宝可梦）,typhlosion
提丰（明日方舟）,typhon (arknights)
U-511（舰队Collection）,u-511 (kancolle)
乌贝尔（葬送的芙莉莲）,ubel (sousou no frieren)
内笑美莉（丧女）,uchi emiri
宇智波佐助（火影忍者）,uchiha sasuke
宇田川巴（BanG Dream!）,udagawa tomoe
乌丁（Kureiji Ollie）（Hololive）,udin (kureiji ollie)
上原步梦（Love Live! ）,uehara ayumu
上原绯玛丽（Love Live! ）,uehara himari
上杉风太郎（五等分的花嫁）,uesugi fuutarou
优衣（蔚蓝档案）,ui (blue archive)
优衣（泳装）（蔚蓝档案）,ui (swimsuit) (blue archive)
初春饰利（某科学的超电磁炮）,uiharu kazari
宇治松千夜（请问您今天要来点兔子吗？）,ujimatsu chiya
乌尔里希·冯·胡滕（碧蓝航线）,ulrich von hutten (azur lane)
终极小圆（魔法少女小圆）,ultimate madoka
月亮伊布（宝可梦）,umbreon
海风（舰队Collection）,umikaze (kancolle)
UMP40（少女前线）,ump40 (girls' frontline)
UMP45（少女前线）,ump45 (girls' frontline)
UMP9（少女前线）,ump9 (girls' frontline)
安蒂妮（罪恶装备）,undine (guilty gear)
优妮（超次元游戏 海王星）,uni (neptunia)
独角兽（碧蓝航线）,unicorn (azur lane)
独角兽（期待已久的约会）（碧蓝航线）,unicorn (long-awaited date) (azur lane)
英国（黑塔利亚）,united kingdom (hetalia)
卯花烈（死神）,unohana retsu
云龙（舰队Collection）,unryuu (kancolle)
云山（东方Project）,unzan
浦风（舰队Collection）,urakaze (kancolle)
丽日御茶子（我的英雄学院）,uraraka ochako
乌尔波扎（塞尔达传说：旷野之息）,urbosa
Urotsuki（うろつき）（Yume 2kki）,urotsuki
乌尔苏拉·哈特曼（强袭魔女）,ursula hartmann
润羽露西亚（Hololive）,uruha rushia
润羽露西亚（初代服装）（Hololive）,uruha rushia (1st costume)
润羽露西亚（第三代服装）（Hololive）,uruha rushia (3rd costume)
润羽露西亚（校服）（Hololive）,uruha rushia (school uniform)
漆原琉华（Steins;Gate）,urushibara ruka (steins gate)
雨生龍之介（月姬）,uryuu ryuunosuke
兔田光（铃铛猫娘）,usada hikaru
宇佐田佩克拉（Hololive）,usada pekora
宇佐田佩克拉（初代服装）（Hololive）,usada pekora (1st costume)
宇佐田佩克拉（便装）（Hololive）,usada pekora (casual)
宇佐见莲子（东方Project）,usami renko
宇佐见堇子（东方Project）,usami sumireko
潮（舰队Collection）,ushio (kancolle)
潮（泳装）（舰队Collection）,ushio (swimsuit) (kancolle)
潮改二（舰队Collection）,ushio kai ni (kancolle)
右代宫缘寿（海猫鸣泣之时）,ushiromiya ange
右代宫战人（海猫鸣泣之时）,ushiromiya battler
右代宫绘羽（海猫鸣泣之时）,ushiromiya eva
右代宫朱志香（海猫鸣泣之时）,ushiromiya jessica
右代宫理御（海猫鸣泣之时）,ushiromiya lion
右代宫真里亚（海猫鸣泣之时）,ushiromiya maria
右代宫夏妃（海猫鸣泣之时）,ushiromiya natsuhi
右代宫楼座（海猫鸣泣之时）,ushiromiya rosa
牛若丸（Fate）,ushiwakamaru (fate)
牛若丸（泳装刺客）（Fate）,ushiwakamaru (swimsuit assassin) (fate)
牛若丸（泳装刺客）（第一灵基）（Fate）,ushiwakamaru (swimsuit assassin) (first ascension) (fate)
牛崎润美（东方Project）,ushizaki urumi
乌索普（海贼王）,usopp
薄云（舰队Collection）,usugumo (kancolle)
歌（海贼王）,uta (one piece)
宴（明日方舟）,utage (arknights)
宴（夏花）（明日方舟）,utage (summer flowers) (arknights)
歌隼（蔚蓝档案）,utaha (blue archive)
宇津木德幸（細胞神曲）,utsugi noriyuki
宇津木优季（少女战车）,utsugi yuuki
内海艾莉丝（Fate/Grand Order）,utsumi erice
内海艾莉丝（枪兵）（Fate/Grand Order）,utsumi erice (lancer)
内海樱（Sakura no Sekai）,utsumi sakura
宇崎花（宇崎酱想要玩耍！）,uzaki hana
宇崎月（宇崎酱想要玩耍！）,uzaki tsuki
宇髄天元（鬼灭之刃）,uzui tengen
卯月（舰队Collection）,uzuki (kancolle)
漩涡鸣人（火影忍者）,uzumaki naruto
金刚（碧蓝幻想）,vajra (granblue fantasy)
瓦伦丁（骷髅女孩）,valentine (skullgirls)
瓦尔基里（Fate系列）,valkyrie (fate)
吸血鬼（碧蓝航线）,vampire (azur lane)
斑比（巴哈姆特之怒）,vampy
范·阿克莱德（英雄传说 黎之轨迹）,van arkride
香草（猫娘乐园）,vanilla (nekopara)
水伊布（宝可梦）,vaporeon
瓦修·斯坦佩德（枪神）,vash the stampede
维克托（少女前线）,vector (girls' frontline)
贝吉塔（龙珠）,vegeta
薇伊（VTuber) ,vei (vtuber)
贝尔贝特·克劳（破晓传说）,velvet crowe
维纳特（最终幻想14）,venat (ff14)
星宫凯特／薇妮艾拉（世界征服：谋略之星）,venera-sama
温蒂（弓箭手）（原神）,venti (archon) (genshin impact)
温蒂（原神）,venti (genshin impact)
薇拉（战双帕弥什）,vera (pgr)
维梅尔（明日方舟）,vermeil (arknights)
响（舰队Collection）,verniy (kancolle)
维罗妮卡（火焰纹章）,veronica (fire emblem)
贝露（超次元游戏 海王星）,vert (neptunia)
维尔汀（重返未来1999）,vertin (reverse 1999)
维克希娜（赛马娘）,verxina (umamusume)
薇丝提亚·泽塔（Hololive）,vestia zeta
薇丝提亚·泽塔（第一套服装）（Hololive）,vestia zeta (1st costume)
薇伊尔（火焰纹章）,veyle (fire emblem)
维克托（宝可梦  剑/盾）,victor (pokemon)
维多利加·德布洛瓦（GOSICK）,victorica de blois
胜利（碧蓝航线）,victorious (azur lane)
维妮（明日方舟）,vigna (arknights)
月之瀬·维涅特·艾普丽尔（Gabriel Dropout）,vignette tsukinose april
维卡拉（碧蓝幻想）,vikala (granblue fantasy)
维克托·尼基福罗夫（冰上的尤里）,viktor nikiforov
薇儿-薇（崩坏3rd）,vill-v
维蕾塔·努（反叛的鲁路修）,villetta nu
紫罗兰·伊芙加登（紫罗兰永恒花园）,violet evergarden
毒蛇（胜利女神：NIKKE）,viper (nikke)
维拉（碧蓝幻想）,vira (granblue fantasy)
维吉莉亚（海猫鸣泣之时）,virgilia (umineko)
维尔图奥莎（明日方舟）,virtuosa (arknights)
维塔（崩坏3rd）,vita (honkai impact)
维塔（魔法少女奈叶）,vita (nanoha)
维托里奥·威尼托（碧蓝航线）,vittorio veneto (azur lane)
薇薇安娜（明日方舟）,viviana (arknights)
薇薇欧（魔法少女奈叶）,vivio
薇芙洛丝（赛马娘）,vivlos (umamusume)
维伊（宠物）（Fate）,viy (fate)
弗拉德三世（Fate/Apocrypha）,vlad iii (fate/apocrypha)
芙拉迪蕾娜·米利杰（86-不存在的战区）,vladilena millize
伏特加（赛马娘）,vodka (umamusume)
沃洛（宝可梦 阿尔宙斯）,volo (pokemon)
沃克斯·阿库玛（VTuber）,vox akuma
VSK-94（少女前线）,vsk-94 (girls' frontline)
六尾（宝可梦）,vulpix
文森特·里希特（未定事件簿）,vyn richter (tears of themis)
W（明日方舟）,w (arknights)
WA2000（少女前线）,wa2000 (girls' frontline)
若叶（舰队Collection）,wakaba (kancolle)
若叶睦（BanG Dream! ）,wakaba mutsumi
若藻（蔚蓝档案）,wakamo (blue archive)
若藻（泳装）（蔚蓝档案）,wakamo (swimsuit) (blue archive)
若菜四季（Love Live!）,wakana shiki
若狭悠里（Love Live!）,wakasa yuuri
若狭姬（东方Project）,wakasagihime
华勒斯（宝可梦）,wallace (pokemon)
满充（宝可梦）,wally (pokemon)
瓦普吉斯之夜（魔法少女小圆）,walpurgisnacht (madoka magica)
瓦姆乌（JOJO的奇妙冒险）,wamuu
流浪者（原神）,wanderer (genshin impact)
王留美（机动战士高达00）,wang liu mei
王雨嘉（BOUQUET）,wang yujia
童田明治（VTuber）,warabeda meiji
华法林（明日方舟）,warfarin (arknights)
厌战（碧蓝航线）,warspite (azur lane)
厌战（舰队Collection）,warspite (kancolle)
华盛顿（舰队Collection）,washington (kancolle)
渡边曜（Love Live! Sunshine!!）,watanabe you
渡良濑准（Happiness!）,watarase jun
绵月丰姬（东方Project）,watatsuki no toyohime
绵月依姬（东方Project）,watatsuki no yorihime
华生·阿米莉亚（Hololive）,watson amelia
华生·阿米莉亚（初版服装）（Hololive）,watson amelia (1st costume)
华生·阿米莉亚（休闲服）（Hololive）,watson amelia (street casual)
沃特森（Apex英雄）,wattson (apex legends)
韦伯·维尔维特（Fate/Zero）,waver velvet
星期三·亚当斯（亚当斯一家）,wednesday addams
维蒂（明日方舟）,weedy (arknights)
白·雪（RWBY）,weiss schnee
韦尔罗德MkII（少女前线）,welrod mkii (girls' frontline)
温蒂·玛贝尔（妖精的尾巴）,wendy marvell
薇普（拳皇）,whip (kof)
鞭刃（明日方舟）,whislash (arknights)
